doc_id1,doc_id2
889,9155
3777,7510
123,8386
6075,8919
1149,7098
4469,7374
776,7154
85,6400
2886,9333
1443,4072
8078,8936
427,4607
2411,8883
7282,9297
4834,5011
5851,7906
694,5602
7557,7978
1857,4667
8581,8697
6197,7059
3941,5921
7480,9710
6048,6487
209,3827
5338,9790
2521,3630
6271,8866
74,1704
3384,9679
859,1537
7330,9615
5907,9702
1729,2381
3429,7426
3316,7314
1646,8863
6802,6945
1301,9057
2128,3294
5878,7209
6412,9504
5138,8768
4374,9821
7044,8103
514,1388
5841,7656
5135,7277
3187,4104
2378,5155
2138,9979
4632,5298
265,3977
807,1508
1001,6807
72,3710
7974,9863
1743,5494
36,8876
1694,5995
1879,2834
60,6072
702,2888
399,1520
894,2301
3182,5521
5652,8458
4766,5186
3176,7857
4437,5886
4257,8335
6069,7553
742,7310
1632,7245
4217,6816
104,8069
6057,6733
6906,9428
5344,8856
944,8320
1529,2878
7313,8985
